大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
黄柏（酒炒）、椿皮、白芍、当归、醋香附	清热，除湿，止带
补骨脂、黄芪、红花、川芎、当归、香附、桃仁、丹参、乌梢蛇、紫草、白鲜皮、山药、干姜、龙胆、蒺藜	活血行滞，祛风解毒
白头翁、蒲公英、黄芩、黄柏	清热燥湿，解毒凉血
紫草、灵芝、降香、盐补骨脂、丹参、红花、制何首乌、海螺蛸、牡丹皮、黄药子、苍术（泡）、甘草、蒺藜、龙胆	补益肝肾，活血祛瘀，养血驱风
百合、地黄、熟地黄、麦冬、玄参、川贝母、当归、白芍、桔梗、甘草	养阴润肺，化痰止咳
陈皮、麦冬、前胡、炒苦杏仁、清半夏、黄芩、蜜百部、黄柏、桑白皮、甘草、蜜麻黄、炒葶苈子、炒紫苏子、炒天南星、桔梗、瓜蒌子（炒）	清热化痰，止咳平喘
滑石、甘草、朱砂	清暑利湿
红参、牛角尖粉、蟾酥、冰片、红花、人工牛黄、附片（黑顺片）、人工麝香、三七、安息香、珍珠	益气温阳，活血止痛
人参茎叶总皂苷、藤合欢、五味子、灵芝	补气生津，养心安神
人参、麦冬、黄芪、五味子、丹参、川芎、山楂	益气复脉，活血化瘀，养阴生津
人参、麦冬、黄芪、五味子、丹参、川芎、山楂	益气复脉，活血化瘀，养阴生津
黄芪、人参、北沙参、玄参、丹参、川芎、郁金、炙甘草	益气养阴，活血通络
山楂叶提取物	活血化瘀，宣通血脉
益母草、当归、川芎、木香	行气活血，调经止痛
益母草	活血调经
人参、黄芪、党参、麦冬、当归、炒白术、地黄、制何首乌、五味子、陈皮、地骨皮、鹿茸、淫羊藿	益气养血
猪血提取物、黄芪、大枣	补血益气
升麻、葛根、黄柏（炒）、白芍、蔓荆子、党参、黄芪、炙甘草	益气升阳，聪耳明目
黄芪、丹参、川芎、红花、地龙	益气活血，祛瘀通络
黄芪、党参、北沙参、麦冬、仙鹤草、拳参、败酱草、白花蛇舌草、川贝母、紫菀、桔梗、苦杏仁、甘草	益气养阴，清热解毒，化痰止咳
人参、黄芪、白术、茯苓、泽泻、清半夏、羌活、独活、防风、柴胡、黄连、白芍、陈皮、炙甘草、生姜、大枣	升阳补脾，益肾化湿，利水消肿
枸杞子、女贞子、附子（制）、芡实（炒）、车前子（炒）、补骨脂（炒）、覆盆子、五味子、桑椹、沙苑子、韭菜子（炒）、淫羊藿、金樱子	温阳补肾
炙黄芪、党参、麦芽、制何首乌、灵芝、女贞子、墨旱莲、槲寄生、天麻、钩藤、丹参、赤芍、地龙、山楂、琥珀	益气补肾，活血通脉
龟甲胶、远志、龙骨、灵芝、五味子、麦冬、石菖蒲、党参、人参、茯苓	补气养阴，滋肾健脑，益智安神
知母、黄柏、熟地黄、山茱萸（制）、牡丹皮、山药、茯苓、泽泻	滋阴降火
石斛、人参、山药、茯苓、甘草、肉苁蓉、枸杞子、菟丝子、地黄、熟地黄、五味子、天冬、麦冬、苦杏仁、防风、川芎、麸炒枳壳、黄连、牛膝、菊花、盐蒺藜、青葙子、决明子、水牛角浓缩粉、山羊角	滋阴补肾，清肝明目
石榴子、肉桂、荜苃、红花、豆蔻	温胃益火，化滞除湿，温通脉道
广金钱草	清热利尿，通淋排石
金礞石（煅）、沉香、黄芩、熟大黄	逐痰降火
祖师麻	祛风除湿，活血止痛
连钱草、生草乌、冰片、莪术、红花、血竭、川芎、桂枝、威灵仙、茅膏菜、了哥王、海风藤、野木瓜、两面针、天南星、白芷、栀子、酢浆草、樟脑、薄荷脑	活血化瘀，消肿止痛
鲜竹沥	清肺化痰
老鹳草、槲寄生、续断、威灵仙、独活、制草乌、红花	祛风寒，补肝肾，壮筋骨
防风、桂枝、麻黄、威灵仙、制川乌、制草乌、麸炒苍术、茯苓、木瓜、秦艽、烫骨碎补、牛膝、甘草、海风藤、青风藤、穿山龙、老鹳草、茄根	祛风散寒，除湿活络
人工麝香、冰片、水牛角浓缩粉、乳香（制）、安息香、白术、香附、木香、沉香、丁香、苏合香	温通宣痹，行气化浊
积雪草总苷	有促进创伤愈合作用
党参、黄精、三七、琥珀、甘松	益气养阴，活血化瘀
穿心莲内酯	清热解毒，抗菌消炎
穿心莲	清热解毒，凉血消肿
穿心莲	清热解毒，凉血消肿
黄芩、半夏（制）、大黄（酒制）、橘红、甘草、沉香	豁除顽痰，清火顺气
乳香（制）、没药（制）、大黄、红花、煅自然铜、三七、血竭、川芎、郁金、当归、栀子、刘寄奴、紫荆皮、儿茶、白芷、肉桂、防风、木香、香附、厚朴、小茴香、制川乌、制草乌、浙贝母、天南星（制）、木瓜、樟脑、冰片、木鳖子、羌活、陈皮	活血化瘀，消肿止痛
丹参、赤芍、川芎、红花、降香	活血化瘀
天花粉、山药、黄芪、红参、地黄、枸杞子、知母、天冬、茯苓、山茱萸、五味子、葛根、炒鸡内金	益气养阴，生津止渴
黄芪、地黄、赤芍、丹参、牛膝、麦冬、葛根、桑叶、黄连、黄精、淫羊藿	养阴清热，活血化瘀，益气固肾
大叶紫珠、地稔	清热凉血，收敛止血
紫草、地黄、熟地黄、冰片、黄连、花椒、甘草、当归	清热凉血，化瘀解毒，止痛生肌
紫草、当归、防风、地黄、白芷、乳香、没药	化腐生肌，解毒止痛
山慈菇、红大戟、千金子霜、五倍子、人工麝香、朱砂、雄黄	辟瘟解毒，消肿止痛
人工麝香、雄黄、朱砂、硼砂、煅金礞石、硝石（精制）、冰片	祛暑，开窍，辟瘟，解毒
薄荷脑、薄荷素油、肉桂油、樟脑、樟油、桉油、丁香罗勒油	驱风，兴奋，局部止痒，止痛
三七、白芷、土鳖虫、川芎、当归、红花、冰片、樟脑、水杨酸甲酯、薄荷脑、颠茄流浸膏、硫酸软骨素钠、盐酸苯海拉明	祛瘀生新，活血止痛
广藿香、姜半夏、木香、陈皮、丁香、肉桂、苍术、白术、茯苓、朱砂、硝石、硼砂、雄黄、煅金礞石、麝香、冰片	温中散寒
山银花、连翘、荆芥、淡豆豉、淡竹叶、牛蒡子、芦根、桔梗、甘草、马来酸氯苯那敏、对乙酰氨基酚、维生素、薄荷素油	疏风解表，清热解毒
虎杖、炒白芍、仙鹤草、地黄、鸡血藤、熟地黄、墨旱莲、太子参	滋阴养血，清热凉血
山药、益智仁（盐炒）、乌药	补肾缩尿
山药、益智仁、乌药	补肾缩尿
罗布麻叶	平肝安神，清热利水
羊胆干膏、百部、白及、浙贝母、甘草	止咳化痰，止血
淫羊藿、三七	温阳通脉，化瘀止痛
羚羊角、牛蒡子、淡豆豉、金银花、荆芥、连翘、淡竹叶、桔梗、薄荷素油、甘草	清热解表
浙贝母、蜜桑白皮、前胡、麦冬、天冬、天花粉、地黄、玄参、石斛、桔梗、蜜枇杷叶、炒苦杏仁、金果榄、金银花、大青叶、栀子、黄芩、板蓝根、牡丹皮、薄荷、甘草、熟大黄、陈皮、羚羊角粉	清肺利咽，清瘟止嗽
羚羊角	平肝息风，清肝明目，散血解毒
黄芪、白术、防风、甘草、黄精、淫羊藿、补骨脂	补气壮阳，扶正固本
老鹳草	除湿解毒，收敛生肌
龙胆、黄芩、地黄、泽泻、木通、栀子、当归、九节菖蒲、甘草、羚羊角	清肝泻火，利湿通窍
煅磁石、熟地黄、山茱萸（制）、牡丹皮、山药、茯苓、泽泻、竹叶柴胡	滋肾平肝
地榆炭、盐酸小檗碱、五倍子、盐酸罂粟碱、冰片	凉血止血，清热解毒，燥湿敛疮，消肿止痛
茵陈、郁金、板蓝根、当归、菊花、金钱草、丹参、滑石、拳参	清热解毒，利湿化郁
盐酸小檗碱、木香、制吴茱萸	清热燥湿，理气止痛
地锦草、金毛耳草、樟树根、香薷、枫香树叶	清热利湿，行气
党参、白术、黄芪、赤石脂、姜炭、木香、砂仁、补骨脂、葛根、防风、白芍、延胡索、当归、儿茶、罂粟壳、炙甘草	健脾益肾，温中止痛，涩肠止泻
功劳木、鸡骨香、黄连须、葛根、救必应、凤尾草、两面针、防己	清热解毒，利湿止泻
煨肉豆蔻、木香、六神曲（炒）、炒麦芽、胡黄连、槟榔、使君子仁	健胃消积，驱虫
土茯苓、槐花、白茅根、益母草、广藿香	清热利尿，益肾化浊
蛇床子、川芎、菟丝子、补骨脂、茯苓、红参、小茴香、五味子、金樱子、白术、当归、覆盆子、制何首乌、车前子、熟地黄、枸杞子、山药、淫羊藿、胡芦巴、黄芪、肉苁蓉、炙甘草	温补肾阳，固精益气
蛇床子、菟丝子、茯苓、小茴香、金樱子、当归、制何首乌、熟地黄、山药、胡芦巴、肉苁蓉、川芎、补骨脂、红参、五味子、白术、覆盆子、车前子、枸杞子、淫羊藿、黄芪、炙甘草	温补肾阳，固精益气
黄芪、丹参、茯苓、泽泻、益母草、淡附片、锁阳、山药	补脾温肾，渗湿活血
细梗胡枝子、黄芩、石韦、黄芪	清热利尿，补气健脾
西洋参、人参、地黄、盐杜仲、山药、白花蛇舌草、黑豆、土茯苓、益母草、丹参、泽泻、白茅根、桔梗	益气养阴，健脾补肾，清解余毒
桂枝、泽泻、陈皮、香加皮、苍术、茯苓、姜皮、大腹皮、关黄柏、椒目、冬瓜皮、益母草	健脾渗湿，通阳利水
苍术、茯苓、白茅根、防己、人参（去芦）、黄精、菟丝子、枸杞子、金银花、蒲公英	益肾健脾，利水消肿
白茅根、连翘、荆芥、炒苦杏仁、陈皮、大腹皮、盐泽泻、茯苓、桂枝、车前子（炒）、赤小豆、石膏、蒲公英、蝉蜕	疏风解热，宣肺利水
太子参、黄连、法半夏、陈皮、茯苓、大黄、丹参、牛膝、红花、甘草	益气健脾，活血化瘀，通腑泄浊
肿节风浸膏	清热解毒，消肿散结
黄芪、三七、红参、珍珠层粉、人工牛黄	补气健脾，活血止痛
红参、香茶菜、麸炒枳壳	健脾益气，活血解毒
石斛、黄柏、南沙参、山楂、枳壳（炒）、黄精、甘草、白芍	养阴益胃，柔肝止痛
白芍、白及、三七、甘草、茯苓、延胡索、海螵蛸、颠茄浸膏	柔肝和胃，散瘀止血，缓急止痛，去腐生新
白及、海螵蛸、香附、黄芪、白芍、三七、鸡内金、鸡蛋壳（炒焦）、乳香、没药、百草霜	行气健胃，化瘀止血，制酸止痛
白术（制）、乌药、山药（炒）、白及、青皮、高良姜、赤芍、仙鹤草、甘草、珍珠层粉、香附、五指毛桃	温中散寒，理气止痛，制酸止血
黄芪、炙甘草、白芍、大枣、桂枝、生姜	温中益气，缓急止痛
女贞子	养阴柔肝止痛，润燥通便
广藿香、炒麦芽、茯苓、六神曲（麸炒）、苍术、姜厚朴、白术、木香、泽泻、猪苓、陈皮、清半夏、豆蔻、甘草、人参、制吴茱萸	健胃和中，顺气化滞
麸炒枳壳、太子参、大黄、蒲公英、炒莱菔子、木香、赤芍、紫苏梗、黄芪、桃仁	益气活血，理气通下
木香、沉香、枳壳（数炒）、檀香、大黄、厚朴（姜炙）、人工麝香、巴豆霜、大枣（去核）、川芎	芳香化浊，理气止痛，健胃导滞
党参、白芍、山楂（炭）、陈皮、甘草、醋延胡索	益气阴，健脾胃，消痞满
甘草、海螵蛸、白芍、白术、延胡索、党参	补气健脾，制酸止痛
紫苏梗、香附、陈皮、香橼、佛手、枳壳、槟榔、炒鸡内金	理气消胀，和胃止痛
醋延胡索、海螵蛸（漂）、土木香、枯矾、鸡蛋壳（炒）、煅珍珠母	制酸止痛
猪胆汁酸、陈皮、南山楂、郁金、连钱草	理气止痛，利胆排石
大黄、虎杖、青皮、白茅根、陈皮、郁金、山楂	疏肝利胆，清热通下
柴胡、蒲公英、大黄、郁金、茵陈、人工牛黄、梔子、薄荷素油	舒肝利胆，清热解毒，理气止痛
蒲公英、水线草、绵茵陈、广金钱草、溪黄草、大黄、枳壳、柴胡、黄芩、鹅胆粉	清热利湿，利胆排石
鲜胡蜂	祛风除湿
决明子、枸杞子、桑椹、红花、山楂	滋阴清肝，活血通络
普洱茶、刺五加、山楂、莱菔子、荷叶、葛根、菊花、黄芪、黄精、何首乌、茺蔚子、杜仲、大黄（酒制）、三七、槐花、桑寄生	消食，降脂，通血脉，益气血
丹参、鸡血藤、郁金、乳香、没药	活血化瘀，通经活络
黄芪、金银花、黄柏、苍术、薏苡仁、玄参、当归、白芍、甘草、水蛭、蜈蚣、全蝎	清热解毒，化瘀通络，祛湿消肿
黄连、黄芩、地黄、赤芍、当归、槐角、槐花、荆芥穗、地榆炭、阿胶	清肠止血
甘草浸膏、大枣、小麦	养心安神
川芎、当归、红花、人参、冰片	活血化瘀，益气通络
三七、川芎、红花、葛根、山楂（去核）	活血化瘀，通经活络
柿叶提取物	活血化瘀，通络
黄芪、赤芍、丹参、当归、川芎、桃仁、红花、醋乳香、醋没药、鸡血藤、牛膝、桂枝、桑枝、地龙、全蝎、水蛭	益气活血，化瘀通络
蒲黄、赤芍、郁金、天麻、漏芦	活血通络，祛风化痰
磁石、赭石、珍珠母、清半夏、酒曲、酒曲（炒）、牛膝、薄荷脑、冰片、猪胆汁、（或猪胆粉、）	平肝潜阳，醒脑安神
磁石、熟酒曲、冰片、牛膝、珍珠母、酒曲、薄荷脑、赭石、清半夏、猪胆汁、（或猪胆粉）	平肝潜阳，醒脑安神
红参、三七、当归、丹参、鸡血藤、红花、银杏叶、山楂、菊花、石决明、制何首乌、石菖蒲、葛根	益气活血，熄风豁痰
鳖甲（制）、炙黄芪、陈皮、枳实、白芍、麸炒白术、醋香附、草果、乌梅（炒）、川芎、焦槟榔、厚朴	疏肝理气，健脾和胃，消积化食
杜仲叶（盐炒）、盐补骨脂、狗脊（制）、续断、当归、赤芍、炒白术、牛膝、泽泻、肉桂、乳香（制）、土鳖虫（酒炒）	补肾活血，强筋止痛
马钱子粉（调制）、土鳖虫、川牛膝、甘草、麻黄、乳香（醋制）、没药（醋制）、全蝎、僵蚕（麸炒）、麸炒苍术	消肿止痛，疏散寒邪，温经通络
杜仲叶（盐炒）、盐补骨脂、续断、当归、炒白术、牛膝、肉桂、乳香（制）、狗脊（制）、赤芍、泽泻、土鳖虫（酒炒）	补肾活血，强筋止痛
三七、川芎、延胡索、白芍、牛膝、狗脊、熟大黄、独活	活血化瘀，祛风除湿，行气止痛
大黄、黄连、三七、白芷、阿胶、龙骨（煅）、白及、醋没药、海螵蛸、茜草、龙血竭、甘草、珍珠、冰片	清热凉血止血，化瘀生肌定痛
当归、白芍、赤芍、醋香附、醋延胡索、陈皮、柴胡、牡丹皮、桃仁、牛膝、益母草	活血疏肝，止痛调经
山楂核精	活血，化瘀，止痛
党参、黄芪、红花、当归、川芎、三棱、蒲黄	补益心气，活血化瘀
川木通、钩藤、野菊花、金钱草	清热解毒，利尿通淋，软坚散结
木瓜、桑寄生、玉竹、续断、川牛膝、当归、川芎、红花、独活、羌活、防风、白术、蚕沙、红曲、甘草	祛风除湿，活血通络，养阴生津
乳香（醋炙）、没药（醋炙）、当归、红花、醋延胡索、血竭、醋香附、煅自然铜、骨碎补	舒筋活血，散瘀止痛
骨碎补、牛膝、川芎、天麻、黄芪、威灵仙、地龙、葛根、乳香	补肝益肾，活血舒筋
川楝子、醋延胡索、酒白芍、片姜黄、木香、沉香、豆蔻仁、砂仁、姜厚朴、陈皮、麸炒枳壳、茯苓、朱砂	舒肝和胃，理气止痛
川楝子、醋延胡索、片姜黄、沉香、酒白芍、麸炒枳壳、豆蔻仁、茯苓、陈皮、朱砂、砂仁、姜厚朴、木香	舒肝和胃，理气止痛
醋香附、白芍、佛手、木香、郁金、炒白术、陈皮、柴胡、广藿香、炙甘草、莱菔子、焦槟榔、乌药	舒肝解郁，和胃止痛
姜厚朴、陈皮、麸炒枳壳、法半夏、苍术、炙甘草、焦槟榔	舒肝和胃，化湿导滞
贯叶金丝桃、刺五加	舒肝解郁，健脾安神
大黄、金钱草、枳实、柴胡、梔子、延胡索、黄芩、木香、茵陈、薄荷脑	疏肝利胆止痛，清热解毒排石
三七、红花、川芎	活血化瘀，通络止痛
高良姜、醋香附	温胃理气
龙胆总苷(以龙胆苦苷计)	清肝泄热
艾叶(炭)、醋香附、制吴茱萸、肉桂、当归、川芎、白芍(酒炒)、地黄、炙黄芪、续断	理气养血，暖宫调经
川芎、菊花、黄芩、栀子、炒蔓荆子、黄连、薄荷、连翘、荆芥穗、羌活、藁本、桔梗、防风、甘草、白芷	清热解表，散风止痛
满山红、暴马子皮、黄芩	清热化痰，止咳平喘
黄芩、白芷、麻黄、苍耳子、辛夷、鹅不食草、薄荷	清热解毒，消肿通窍
黄芩、连翘、黄连、黄柏、赤芍、甘草	清热解毒，消肿止痛
黄芪、麦冬、人参、茯苓、地黄、龟甲（烫）、煅紫石英、桂枝、淫羊藿、金银花、丹参、郁金、枳壳（炒）	益气养心，安神止悸
黄芪、丹参、三七、降香油	益气通脉，活血止痛
黄芪、丹参、人参、茯苓、三七、水蛭、红花、川芎、山楂、蒲黄、制何首乌、葛根、黄芩、玄参、甘草	益气活血，化瘀止痛
黄芪、葛根、地黄、枸杞子、决明子、茺蔚子、蒲黄、水蛭	益气生津，滋养肝肾，通络明目
珍珠、黄芪、三七、大青叶、重楼	益气化瘀，清热解毒
黄芪、人参、黑顺片、丹参、葶苈子、泽泻、玉竹、桂枝、红花、香加皮、陈皮	益气温阳，活血通络，利水消肿
黄芪、地黄、黄精、水蛭	益气养阴，活血化瘀
黄芪、刺五加浸膏、魏炒白术、五味子、防风、麦冬	益气固表，健脾，补肺，益肾
黄芪、何首乌、当归、肉苁蓉、黑芝麻、核桃仁、熟大黄、决明子、枳实、炒苦杏仁、桃仁	益气养血，润肠通便
一点红、白花蛇舌草、鸡血藤、桃金娘根、白背叶根、地桃花、菥蓂	清热解毒，燥湿止带，祛瘀止痛
五味子（酒制）、酒苁蓉、茯苓、菟丝子（酒炒）、盐车前子、制巴戟天	补肾填精
苏合香、安息香、冰片、水牛角浓缩粉、人工麝香、檀香、沉香、丁香、香附、木香、乳香（制）、荜茇、白术、诃子肉、朱砂	芳香开窍，行气止痛
炒紫苏子、厚朴、前胡、甘草、姜半夏、陈皮、沉香、当归	降气化痰，温肾纳气
麻黄、紫苏叶、地龙、蜜枇杷叶、炒紫苏子、蝉蜕、前胡、炒牛蒡子、五味子	疏风宣肺，止咳利咽
苦参	清热燥湿，杀虫
苦参总碱	清热燥湿，杀虫止痒
麻黄、薄荷、蝉蜕、金银花、黄芩、苦杏仁、桔梗、浙贝母、甘草	疏风清热，宣肺化痰，止咳平喘
盐小茴香、八角茴香、盐橘核、荔枝核、盐补骨脂、肉桂、川楝子、醋延胡索、醋莪术、木香、醋香附、醋青皮、昆布、槟榔、乳香（制）、桃仁、穿山甲（制）	散寒行气，消肿止痛
茵陈、半枝莲、五味子、栀子、甘草、板蓝根	清热解毒利湿
茵陈提取物、栀子提取物、黄芩提取物（以黄芩苷计）、金银花提取物	清热解毒，利湿退黄
茵陈（绵茵陈）提取物、栀子提取物、黄芩提取物（以黄芩苷计）、金银花提取物	清热解毒，利湿退黄
茵陈、龙胆、黄芩、猪胆粉、栀子、炒白芍、当归、甘草	清热，利湿，退黄
茵陈、焦栀子、大黄、白花蛇舌草、猪苓、柴胡、当归、黄芪、党参、甘草	清热解毒利湿，舒肝补脾
鸡内金、决明子、海螵蛸、牡蛎、木香、阿魏	泄肝和胃，行气止痛
荜澄茄、川楝子、醋延胡索、酒大黄、黄连、吴茱萸、醋香附、香橼、佛手、海螵蛸、煅瓦楞子	行气活血，和胃止痛
茼麻子、石韦、海浮石、蛤壳、茯苓、小蓟、玄明粉、牛膝、甘草	清热利尿，通淋排石
艾叶、桂枝、高良姜、广藿香、降香、香附、白芷、陈皮、丹参、生川乌	行气血，逐寒湿
荷叶、丹参、山楂、番泻叶、盐补骨脂	化痰降浊，活血化瘀
荷叶、藕节、大蓟炭、小蓟炭、知母、黄芩炭、地黄（炭）、棕榈炭、栀子（焦）、茅根炭、玄参、白芍、当归、香墨	凉血止血
粉萆薢、石菖蒲、甘草、乌药、盐益智仁	分清化浊，温肾利湿
葛根、麻黄、白芍、桂枝、甘草、大枣、生姜	发汗解表，升津舒经
葛根、黄芩、黄连、炙甘草	解肌透表，清热解毒，利湿止泻
葛根、黄芩、黄连、炙甘草	解肌清热，止泻止痢
延胡索、香附、醋乳香、蒲公英、枯矾、甘草	行气和胃止痛
蒲公英、板蓝根、苦地丁、黄芩	清热解毒，消肿利咽
黄芩、蒲公英、苦地丁、板蓝根	清热解毒，消肿利咽
钩藤、夏枯草、猪胆膏、桑寄生、丹参、车前子、川芎、三七、防己、黄芪	平肝息风，泻火养阴，舒脉通络
广藿香叶、猪胆粉	芳香化浊，清热通窍
苍术、陈皮、厚朴（姜制）、白芷、茯苓、大腹皮、生半夏、甘草浸膏、广藿香油、	解表化湿，理气和中
苍术、陈皮、姜厚朴、白芷、茯苓、大腹皮、生半夏、甘草浸膏、广藿香油、	解表化湿，理气和中
苍术、陈皮、厚朴（姜制）、白芷、茯苓、大腹皮、生半夏、甘草浸膏、广藿香油、	解表化湿，理气和中
炙黄芪、炙甘草、桂枝、党参、白芍、高良姜、大枣、干姜	益气健脾，温胃止痛
雄蚕蛾（制）、人参、熟地黄、炒白术、当归、枸杞子、盐补骨脂、盐菟丝子、蛇床子、仙茅、肉苁蓉、淫羊藿	补肾壮阳，养血，填精
牡蛎	补肾壮骨
蛇胆汁、川贝母	清肺，止咳，除痰
蛇胆汁、陈皮（蒸）	理气化痰，祛风和胃
蛇胆汁、陈皮	理气化痰，祛风和胃
蛇胆汁、陈皮（蒸）	理气化痰，祛风和胃
蛤蚧、瓜蒌子、紫菀、麻黄、醋鳖甲、黄芩、甘草、麦冬、黄连、百合、炒紫苏子、石膏、炒苦杏仁、煅石膏	滋阴清肺，止咳平喘
蛤蚧、炒紫苏子、瓜蒌子、炒苦杏仁、麻黄、石膏、甘草、紫菀、醋鳖甲、黄芩、麦冬、黄连、百合、煅石膏	滋阴清肺，止咳平喘
蛤蚧、淫羊藿、麻雀（干）、当归、黄芪、牛膝、枸杞子、锁阳、党参、肉苁蓉、熟地黄、续断、杜仲、山药、茯苓、菟丝子、胡芦巴、狗鞭、鹿茸	壮阳益肾，填精补血
葶苈子、青皮、陈皮、黄荆子、槟榔、大黄、生姜	泻肺除壅，涤痰祛瘀，利气平喘
三七总皂苷	活血祛瘀，通脉活络
柴胡、当归、地黄、赤芍、红花、桃仁、麸炒枳壳、甘草、川芎、牛膝、桔梗	活血祛瘀，行气止痛
柴胡、当归、地黄、赤芍、红花、炒桃仁、麸炒枳壳、甘草、川芎、牛膝、桔梗	活血祛瘀，行气止痛
肿节风浸膏	活血化瘀，消肿散结，凉血止血
川芎、槐花、丹参、水蛭、毛冬青、人工牛黄、人工麝香、人参茎叶总皂苷、冰片、蟾酥	益气活血，开窍止痛
三七总皂苷	活血祛瘀，通脉活络
薤白	通阳散结，行气导滞
猪蹄甲、地黄、赤芍、牡丹皮	清热养阴，凉血活血
决明子、山楂、荷叶、制何首乌	化浊降脂，润肠通便
红曲	化浊降脂，活血化瘀，健脾消食
泽泻、决明子、山楂、制何首乌	化浊降脂，润肠通便
炙黄芪、党参、炙甘草、炒白术、当归、升麻、柴胡、陈皮	补中益气，升阳举陷
炙黄芪、党参、炙甘草、当归、炒白术、升麻、柴胡、陈皮、生姜、大枣	补中益气，升阳举陷
黄芪、人参、石菖蒲、薤白	补益心气，理气止痛
补骨脂、白扁豆、淫羊藿、丹参、柴胡、黑豆、赤小豆、苦参	健脾温肾
熟地黄、盐车前子、菟丝子、诃子（去核）、麸炒枳壳、地骨皮、牛膝、茯苓	滋阴补气，益肾填精
炙黄芪、炒白术、山药、茯苓、白扁豆、麸炒芡实、当归、沙苑子、菟丝子、陈皮	健脾补肾，益气明目
黄芪、赤芍、补骨脂	益气活血，补肺固肾
何首乌、当归、黑豆、牛膝（盐制）、茯苓、菟丝子、盐补骨脂、枸杞子	补肝肾，益精血
女贞子、菟丝子（酒炒）、墨旱莲、醋南五味子、桑根、覆盆子、酒苁蓉、熟地黄	滋肾填精，补髓养血
鹿茸（去毛）、红参、茯苓、麸炒山药、熟地黄、当归、川芎、盐补骨脂、牛膝、枸杞子、玄参、麦冬、五味子、炒酸枣仁、远志、朱砂	补肾生精，益气养血
鹿茸（去毛）、红参、茯苓、山药（炒）、熟地黄、当归、川芎、盐补骨脂、牛膝、枸杞子、玄参、麦冬、五味子、炒酸枣仁、远志（蜜炙）、朱砂	补肾生精，益气养血
黄芪、米炒党参、砂仁、白芍、当归（土炒）、白术（土炒）、肉桂、醋延胡索、荔枝核、炮姜、炙甘草、防风、木香、盐补骨脂、煅赤石脂	益气养血，温阳行气，涩肠止泻
红参、黄芪、刺五加、赤芍、丹参、桂枝	益气补虚，活血通络
紫苏叶、葛根、白芷、麻黄、防风、桔梗、桂枝、甘草、陈皮、生姜、炒苦杏仁	发汗解表，祛风散寒
桂枝、葛根、白芍、炒苦杏仁、生姜、大枣	散风解肌，和营退热
裸花紫珠干浸膏	清热解毒，收敛止血
覆盆子、菟丝子、枸杞子、金樱子、女贞子、黄芪、丹参、白芍、炙甘草、制何首乌、淫羊藿、肉桂	滋补肝肾，健脑安神
西瓜霜、冰片、薄荷素油、薄荷脑	清音利咽，消肿止痛
西青果	清热，利咽，生津
牛黄或体外培育牛黄、麝香或人工麝香、醋乳香、醋没药	清热解毒，消肿散结
紫苏叶、前胡、葛根、苦杏仁、桔梗、半夏（制）、陈皮、浙贝母、天花粉、枳壳、茯苓、木香、玄参、甘草	解表宣肺，止咳化痰
柴胡、大枣、石菖蒲、姜半夏、炒白术、浮小麦、制远志、炙甘草、炒栀子、百合、胆南星、郁金、龙齿、炒酸枣仁、茯苓、当归	舒肝解郁，安神定志
当归、酒白芍、川芎、熟地黄、醋艾炭、醋香附、陈皮、清半夏、茯苓、甘草、炒白术、制吴茱萸、盐小茴香、醋延胡索、醋没药、益母草、牡丹皮、续断、酒黄芩、麦冬、阿胶	理气活血，养血调经
鹿茸（去毛）、炙淫羊藿、仙茅、续断、桑寄生、菟丝子、枸杞子、覆盆子、山药、莲子（去芯）、茯苓、黄芪、白芍、炒酸枣仁、钩藤、丹参、赤芍、鸡血藤	温肾健脾，活血调经
当归、炒白芍、香附（制）、陈皮、熟地黄、川芎、炙甘草、大枣、白术（炒）、续断、砂仁、酒黄芩	补血，理气，调经
当归、党参、川芎、香附（炒）、益母草、泽兰、大红袍	益气活血，调经止痛
木香、川芎、醋延胡索、当归、熟地黄、赤芍、红花、乌药、白术、丹参、醋香附、制吴茱萸、泽兰、鸡血藤、菟丝子	养血活血，行气止痛
姜厚朴、羌活、广东神曲、枳壳、香附（四制）、姜半夏、防风、前胡、川芎（白酒蒸）、白芷、薄荷、砂仁、草果、木香、豆蔻、茯苓、苍术（泡）、广藿香、乌药（醋蒸）、甘草、紫苏叶、陈皮（蒸）	疏风解表，散寒化湿，健胃消食
豨莶草、臭梧桐叶	清热祛湿，散风止痛
酒豨莶草、红花、川牛膝	祛风活血，通络止痛
豨莶草	清热祛湿，散风止痛
豨莶草（蜜酒炙）、胆南星、清半夏、酒当归、天麻、秦艽、川芎、三七、桃仁、水蛭、红花、冰片、人工麝香	活血化瘀，祛风化痰，舒筋活络，醒脑开窍
川贝母、羚羊角、猪去氧胆酸、人工麝香、沉香、人工天竺黄（飞）、煅青礞石（飞）、硼砂（炒）	清热化痰，止咳平喘
党参、茯苓、枳壳、甘草、川芎、羌活、独活、柴胡、前胡、桔梗	发汗解表，散风祛湿
醋香附、川芎、炒栀子、苍术（炒）、六神曲（炒）	理气解郁，宽中除满
醋香附、麸炒苍术、川芎、清半夏、炒麦芽、六神曲（炒）、茯苓、炒栀子、陈皮、甘草	理气解郁，化痰和中
栀子（姜制）、六神曲(麸炒）、醋香附、川芎、苍术、木香、槟榔	舒肝解郁，开胃消食
